SMILES,zbg_tag,cluster_id,cluster_size,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,sa_score,l_shape_2d_proxy,MW,cLogP,HBD,HBA,TPSA,RotB,pains_brenk_flagged,soft_metabolic_liability,zbg_precedent_count,zbg_low_precedent,exceeds_real_precedent,ic50_model_low_confidence,dock_model_low_confidence,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity
N#CCCC1CN(Cc2c(F)[nH]c3cc(CC#N)ccc23)CCN1CCc1ccc(O)[nH]c1=S,3-HPT,0,58,7.2414277487513035,57.35512772657253,Tier 1 (<150 nM),-7.6065864457212715,3.98348384613381,2.3597731710933525,478.59700000000026,4.168950000000003,3,6,105.87,8,True,False,0,True,False,True,True,6.7492450238879815,6.888629601470969,0.49218272486332193,0.35279814728033454,-6.244528670084014,-6.587722485603366,1.0188639601179057,False
CCC(Cc1ccc(O)[nH]c1=S)CN1CCN(Cc2c[nH]c3cc(CO)ccc23)C(CCO)C1,3-HPT,8,1,6.675800629175564,210.95963764728387,Tier 2 (150-300 nM),-7.096303784339201,3.924574201654206,3.0962401421885875,484.6660000000003,3.5608900000000023,5,6,98.75,10,True,False,0,True,False,False,True,5.91082758084413,6.586462929477827,0.7649730483314334,0.08933769969773664,-6.137610995307795,-6.672289265575115,0.42401451876408647,False
N#CCCCc1ccc2c(CCc3ccc(O)[nH]c3=S)c(N3CCOCC3O)[nH]c2c1,3-HPT,30,1,6.578981273149052,263.6445067328164,Tier 2 (150-300 nM),-7.274549378882522,3.943597785757712,1.7950652754163443,438.55300000000017,3.717570000000001,4,6,108.30000000000001,7,True,False,0,True,False,True,True,7.124251859798386,6.317625158298547,-0.5452705866493348,0.26135611485050436,-6.2729407324295465,-6.591738403732823,0.6828109751496996,False
N#CCCc1c(Cl)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1CCc1ccccc1C#N,Acylurea,1,55,7.883602336138913,13.073674376073756,Tier 1 (<150 nM),-7.476167264396425,4.073603178705143,1.6759804712969395,490.0070000000004,3.986660000000003,2,5,109.02000000000001,7,False,True,24,False,False,False,True,7.026283782495751,7.13568913367463,0.8573185536431618,0.7479132024642832,-5.48822242900905,-6.684424334636147,0.7917429297602778,False
Cc1ccccc1Cc1ccc(C(=O)NC(=O)NC2CN3CCC2C(CCCCCC#N)C3)cc1,Acylurea,7,3,7.660544552631103,21.850201551877873,Tier 1 (<150 nM),-10.230636847116964,4.43291825849628,2.1331742056166636,472.63300000000044,4.819600000000005,2,4,85.23,9,True,True,24,False,False,False,True,6.883752100173445,6.777450064432303,0.7767924524576584,0.8830944881988003,-5.959687874793207,-6.780421368275775,3.450215478841189,False
COc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(N2CCNCC2)c1CCC#N,Acylurea,11,1,7.400943880891716,39.72428774892827,Tier 1 (<150 nM),-7.961061824719025,4.045257955301717,2.3921761143839255,440.54800000000034,1.0945800000000006,3,7,109.72999999999999,6,False,True,24,False,False,False,True,6.7802269013797085,6.091208059047108,0.6207169795120073,1.3097358218446082,-6.603926249147653,-6.8514582634840036,1.109603561235021,False
Cc1ccc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)Cc1ccc(CC#N)cc1C#N,Acylurea,13,1,7.355071103741398,44.14981582911107,Tier 1 (<150 nM),-8.235549659656684,3.982659150733115,1.9229124941706004,469.5450000000003,2.8917800000000007,2,6,126.09,6,False,True,24,False,False,False,True,6.605572694675273,6.15396140637474,0.749498409066125,1.2011096973666584,-6.749549989883304,-6.731437549663681,1.4859996697733795,False
CCCNc1cc(Cc2cc(C(=O)NC)c(C(=O)O)cc2Cl)cc(-c2cscn2)c1C(=O)O,Carboxylate,35,1,7.2990656723836125,50.226663290209935,Tier 1 (<150 nM),-7.256094712304869,2.930649667545204,1.5268537297656841,487.96500000000015,4.632200000000003,4,6,128.62,9,False,False,148,False,False,False,True,6.272922202843943,6.0260178225434835,1.0261434695396696,1.273047849840129,-6.228325196160271,-6.709146081094204,0.5469486312106655,False
CNC(C)c1cc(CC(C)(Br)C(=O)N(CO)C(C)C)cc(Cl)c1C(=O)O,Carboxylate,4,26,7.17987052539969,66.0890447454404,Tier 1 (<150 nM),-7.604666115559042,3.9408226389377283,2.5240558046995845,449.7730000000002,3.201500000000001,3,4,89.87000000000002,8,True,False,148,False,False,False,True,5.864468957879016,5.8553719817183705,1.3154015675206745,1.3244985436813197,-6.3593689676807905,-6.164331102897669,1.2452971478782517,True
CCC(C)(Cc1c(C(=O)NC)cc(Cl)c(C(=O)O)c1-c1csc(F)n1)OC(C)CF,Carboxylate,9,8,7.152161029145153,70.44318289737953,Tier 1 (<150 nM),-7.450916720841948,4.255853270042339,1.2912745302599684,460.9300000000001,4.7462000000000035,2,5,88.52000000000001,9,False,False,148,False,False,False,True,6.375887862199462,6.184802435074332,0.7762731669456917,0.9673585940708218,-6.447023232955752,-6.953746819842082,0.49716990099986624,False
